Customer_ID,Name,Date_Of_Birth,Join_Date,Risk_Rating,Segment,KYC_Status
CUST-D283AE77,Customer_61392,1957-01-03,1992-04-27,MEDIUM,SME,Verified
CUST-C9498228,Customer_16752,1985-07-07,1991-08-29,LOW,SME,Verified
CUST-1729A781,Customer_62089,1973-12-13,1993-04-14,MEDIUM,SME,Verified
CUST-EE8F517A,Customer_86229,1958-09-11,2003-05-18,HIGH,SME,Verified
CUST-FA76B67B,Customer_12273,1968-07-10,1991-11-29,MEDIUM,SME,Verified
CUST-BB9CEFB5,Customer_45451,1961-09-30,1996-08-04,HIGH,SME,Verified
CUST-EDFC9576,Customer_72660,1947-06-03,1995-01-30,LOW,Retail,Verified
CUST-27978B6B,Customer_54614,1942-09-29,1988-12-14,LOW,SME,Verified
CUST-2B4C5186,Customer_31632,1976-09-04,1995-06-02,MEDIUM,Corporate,Verified
CUST-BE666EFB,Customer_16343,1985-08-16,1995-07-04,HIGH,Retail,Verified
CUST-DF679C42,Customer_19641,1970-05-07,1987-01-12,MEDIUM,Corporate,Verified
CUST-5A0AB581,Customer_72757,1981-07-07,1996-08-10,LOW,Corporate,Verified
CUST-ACC03C85,Customer_19851,1960-08-20,1984-11-15,LOW,Corporate,Verified
CUST-49E748C8,Customer_36293,1946-11-19,1997-10-25,HIGH,SME,Verified
CUST-C113031B,Customer_82666,1964-04-04,1994-01-02,MEDIUM,SME,Verified
CUST-A93486F1,Customer_13285,1956-01-27,1991-01-27,LOW,Corporate,Verified
CUST-7C44ECFB,Customer_72269,1958-06-29,2000-11-01,LOW,SME,Verified
CUST-B802BA40,Customer_18136,1978-08-29,1983-05-22,MEDIUM,Corporate,Verified
CUST-653910A0,Customer_60211,1949-06-19,1992-01-12,HIGH,Corporate,Verified
CUST-2E260367,Customer_41064,1951-03-28,1995-09-06,LOW,Retail,Verified
CUST-601D893E,Customer_22302,1940-01-14,1985-04-01,MEDIUM,SME,Verified
CUST-4C394023,Customer_42053,1961-11-27,1983-09-12,HIGH,SME,Verified
CUST-482875A3,Customer_86777,1964-11-04,1982-07-26,LOW,Retail,Verified
CUST-E3FD9993,Customer_34125,1947-12-24,1992-01-10,LOW,SME,Verified
CUST-B4C3D437,Customer_10471,1947-10-24,1989-08-16,MEDIUM,SME,Verified
CUST-5F64C69B,Customer_97950,1957-03-16,1990-06-16,HIGH,SME,Verified
CUST-16381D52,Customer_71210,1953-07-16,1991-11-11,HIGH,Retail,Verified
CUST-66453406,Customer_68516,1948-07-25,1991-05-17,HIGH,Corporate,Verified
CUST-A183E0ED,Customer_25558,1954-04-06,1991-02-27,HIGH,Retail,Verified
CUST-D38DC5A4,Customer_81558,1957-12-19,1996-10-04,LOW,Corporate,Verified
CUST-80946BA7,Customer_31534,1969-05-15,1980-04-27,LOW,Corporate,Verified
CUST-06DBB7FB,Customer_60220,1976-07-25,1998-06-20,HIGH,Corporate,Verified
CUST-D60CFE7A,Customer_16098,1981-04-29,2001-04-27,MEDIUM,Retail,Verified
CUST-E7C432A4,Customer_83210,1975-02-17,1994-05-30,MEDIUM,SME,Verified
CUST-143C2607,Customer_60084,1943-05-15,2001-09-30,LOW,Retail,Verified
CUST-62ECEE72,Customer_41554,1969-09-18,1984-09-20,MEDIUM,Retail,Verified
CUST-33A8D6DD,Customer_30512,1964-06-15,1984-11-28,MEDIUM,Retail,Verified
CUST-553D95EB,Customer_43245,1957-06-17,1981-01-21,MEDIUM,Corporate,Verified
CUST-FBF42946,Customer_14637,1983-07-25,1986-04-20,MEDIUM,SME,Verified
CUST-7314732B,Customer_22923,1982-06-10,2003-12-13,LOW,SME,Verified
CUST-0659292B,Customer_24539,1957-12-10,2005-04-10,HIGH,Corporate,Verified
CUST-2215D847,Customer_60481,1947-07-28,1989-09-22,HIGH,SME,Verified
CUST-14A5807D,Customer_37895,1945-05-03,2002-12-03,HIGH,Corporate,Verified
CUST-6E243A6C,Customer_35126,1948-03-11,1994-12-18,MEDIUM,Corporate,Verified
CUST-FA37D81C,Customer_21982,1944-04-27,1993-08-07,MEDIUM,Corporate,Verified
CUST-98C98603,Customer_16329,1985-12-29,1999-11-05,LOW,SME,Verified
CUST-01928B06,Customer_76337,1961-03-26,1987-10-24,LOW,Corporate,Verified
CUST-73043BF5,Customer_97309,1967-01-09,1989-05-25,MEDIUM,SME,Verified
CUST-025C722D,Customer_17429,1945-05-21,1991-06-13,LOW,Retail,Verified
CUST-67A19F91,Customer_18904,1963-07-26,1988-03-20,LOW,Corporate,Verified
CUST-5CF6DBAD,Customer_29819,1962-05-21,1999-11-19,HIGH,SME,Verified
CUST-133D4938,Customer_64541,1946-01-25,1980-12-25,LOW,Retail,Verified
CUST-893B6145,Customer_68677,1971-01-14,2003-07-24,LOW,Corporate,Verified
CUST-3C0D4CDF,Customer_97461,1962-11-14,1989-04-07,MEDIUM,Retail,Verified
CUST-725CF101,Customer_46905,1958-10-02,2002-10-02,LOW,SME,Verified
CUST-90C1E938,Customer_72052,1957-04-27,1983-07-16,HIGH,Retail,Verified
CUST-A0D9E735,Customer_32589,1956-10-27,1980-01-12,MEDIUM,Corporate,Verified
CUST-8D0FD87C,Customer_83895,1950-09-30,1982-07-17,HIGH,SME,Verified
CUST-C3654299,Customer_32400,1944-05-08,1993-07-06,MEDIUM,Corporate,Verified
CUST-675AB038,Customer_74796,1961-11-19,1984-05-27,HIGH,SME,Verified
CUST-D9158DF1,Customer_10478,1971-08-02,1999-01-08,LOW,Retail,Verified
CUST-0ADBCCD3,Customer_59226,1944-10-02,1994-10-01,LOW,SME,Verified
CUST-BE487674,Customer_43900,1982-10-10,1995-03-24,LOW,Retail,Verified
CUST-E6834F24,Customer_62918,1970-02-09,2000-02-17,MEDIUM,Retail,Verified
CUST-98912CA3,Customer_57838,1964-04-11,1998-01-16,MEDIUM,SME,Verified
CUST-E110BC09,Customer_20364,1974-11-29,1982-05-04,LOW,SME,Verified
CUST-8F0521FC,Customer_75727,1975-06-18,2000-05-12,HIGH,Corporate,Verified
CUST-BB29EE43,Customer_41879,1964-05-16,1999-07-17,HIGH,Retail,Verified
CUST-10D1BBFA,Customer_22456,1948-02-10,1994-08-07,MEDIUM,Corporate,Verified
CUST-7C8C5003,Customer_50768,1976-03-18,1995-10-02,MEDIUM,Corporate,Verified
CUST-96737227,Customer_74779,1979-05-04,1999-10-08,MEDIUM,SME,Verified
CUST-1D001DB8,Customer_97866,1965-06-14,1989-02-20,LOW,SME,Verified
CUST-DE48987E,Customer_11008,1965-12-24,2002-07-25,LOW,Retail,Verified
CUST-96CACD57,Customer_19736,1947-01-06,1994-08-02,HIGH,Corporate,Verified
CUST-11259C07,Customer_15033,1973-01-07,1986-09-06,MEDIUM,Corporate,Verified
CUST-8F1ADB64,Customer_87694,1969-01-09,2001-12-02,MEDIUM,SME,Verified
CUST-2E195829,Customer_42109,1982-03-29,1989-03-09,LOW,SME,Verified
CUST-6C0162B5,Customer_62814,1954-05-09,1992-10-24,MEDIUM,Retail,Verified
CUST-FCDA17F0,Customer_51008,1984-01-13,1981-02-25,LOW,Corporate,Verified
CUST-C3066CAF,Customer_34111,1956-10-08,1985-12-30,MEDIUM,Corporate,Verified
CUST-C225D205,Customer_30422,1968-04-23,1999-07-12,HIGH,SME,Verified
CUST-B53EC967,Customer_61516,1980-09-17,1996-06-22,LOW,Corporate,Verified
CUST-219CF1B1,Customer_68900,1960-08-07,1998-12-13,LOW,Retail,Verified
CUST-389CF67C,Customer_87969,1958-06-16,1981-04-09,LOW,Retail,Verified
CUST-D56818B2,Customer_98895,1974-10-30,1983-06-09,LOW,Corporate,Verified
CUST-F3DFB156,Customer_11777,1980-10-26,2001-01-03,LOW,Retail,Verified
CUST-1E49425B,Customer_98735,1949-10-10,1997-08-16,MEDIUM,Retail,Verified
CUST-2CDDCE0C,Customer_53366,1961-09-23,2004-02-04,LOW,Retail,Verified
CUST-2D575125,Customer_85558,1972-03-22,1984-07-22,LOW,SME,Verified
CUST-1B4BBF69,Customer_77572,1960-03-06,2005-12-23,MEDIUM,Corporate,Verified
CUST-D3EB0650,Customer_20246,1983-12-10,2002-11-16,HIGH,Retail,Verified
CUST-40B14EB9,Customer_91882,1984-11-09,2005-04-26,MEDIUM,Corporate,Verified
CUST-6B807170,Customer_47372,1960-08-31,2002-07-26,HIGH,SME,Verified
CUST-AC81D88E,Customer_49058,1953-07-09,2005-09-22,HIGH,Retail,Verified
CUST-ECB1AE14,Customer_75120,1954-01-07,1985-09-22,LOW,Retail,Verified
CUST-72707606,Customer_50336,1947-01-10,1980-05-11,LOW,SME,Verified
CUST-832B8F60,Customer_45533,1942-11-11,1983-05-23,HIGH,Corporate,Verified
CUST-77C6E60F,Customer_68642,1942-08-11,1992-10-19,MEDIUM,Corporate,Verified
CUST-7165802D,Customer_84784,1954-01-12,1994-02-07,HIGH,SME,Verified
CUST-D54B7F54,Customer_88807,1947-11-16,1993-07-30,LOW,Retail,Verified
CUST-F0555839,Customer_51022,1971-09-01,1991-01-24,LOW,Corporate,Verified
CUST-42285B7E,Customer_66222,1973-05-07,1997-12-05,HIGH,Corporate,Verified
CUST-252CF3AB,Customer_72301,1956-04-19,1999-11-19,LOW,SME,Verified
CUST-8C3B2F6C,Customer_14054,1968-10-03,1985-09-11,LOW,Corporate,Verified
CUST-194249A3,Customer_85375,1975-01-12,1990-10-21,HIGH,Retail,Verified
CUST-D2B4174D,Customer_58286,1968-12-10,1992-12-05,HIGH,Corporate,Verified
CUST-8CA46973,Customer_28651,1966-08-14,1997-09-28,LOW,SME,Verified
CUST-49130E93,Customer_85655,1962-03-07,1991-03-10,LOW,Corporate,Verified
CUST-F9FCA41A,Customer_34187,1955-03-23,1991-11-18,HIGH,SME,Verified
CUST-C184A2C6,Customer_76078,1966-04-07,1988-06-23,HIGH,SME,Verified
CUST-9B12CCAD,Customer_52768,1977-06-28,1997-03-13,MEDIUM,Retail,Verified
CUST-45FC48D4,Customer_62166,1975-07-14,1997-10-11,MEDIUM,Retail,Verified
CUST-FB44ECBF,Customer_11898,1951-02-16,2004-04-01,HIGH,Retail,Verified
CUST-5F916402,Customer_72350,1957-11-18,1986-06-15,LOW,Corporate,Verified
CUST-21F98CAC,Customer_85243,1981-09-04,2002-03-11,HIGH,Corporate,Verified
CUST-1DCDEBB4,Customer_35199,1974-08-17,1994-09-16,MEDIUM,Corporate,Verified
CUST-8EA4F23D,Customer_46838,1942-01-09,2000-01-20,HIGH,Corporate,Verified
CUST-50C8241E,Customer_88075,1971-06-20,1991-04-05,HIGH,Retail,Verified
CUST-4593A363,Customer_72745,1961-04-28,1990-01-09,HIGH,Corporate,Verified
CUST-2BF7804D,Customer_82717,1976-05-06,1998-07-03,MEDIUM,SME,Verified
CUST-6EAEB097,Customer_11315,1950-12-15,1984-08-07,LOW,SME,Verified
CUST-4C5EAD5A,Customer_73657,1966-10-14,1985-06-01,HIGH,Retail,Verified
CUST-9EFDD421,Customer_27677,1984-08-09,1987-09-01,HIGH,SME,Verified
CUST-6428C515,Customer_64399,1970-11-02,1996-05-27,LOW,Corporate,Verified
CUST-5C51C699,Customer_92814,1967-03-02,2001-08-07,HIGH,Retail,Verified
CUST-CEAC21AA,Customer_13330,1969-09-07,1980-12-31,LOW,Corporate,Verified
CUST-DEB8DC91,Customer_76852,1951-07-19,1987-05-08,MEDIUM,Corporate,Verified
CUST-8ABD2BD7,Customer_71284,1964-08-26,1982-07-02,HIGH,Corporate,Verified
CUST-B9644054,Customer_29342,1944-06-24,1998-03-31,LOW,Retail,Verified
CUST-5F81189C,Customer_91659,1960-09-13,1985-04-20,LOW,SME,Verified
CUST-042D6631,Customer_96725,1975-12-02,2003-06-22,HIGH,SME,Verified
CUST-E377EDEE,Customer_38133,1975-09-28,1990-05-15,HIGH,Retail,Verified
CUST-BF8ABBEA,Customer_80212,1954-03-11,2002-01-18,MEDIUM,Retail,Verified
CUST-A63AD49A,Customer_81843,1964-01-18,1984-12-02,MEDIUM,SME,Verified
CUST-3D962CCD,Customer_29328,1959-04-04,1989-11-10,MEDIUM,Retail,Verified
CUST-1334B733,Customer_84378,1975-04-24,2002-11-06,HIGH,Corporate,Verified
CUST-4ED2C1A7,Customer_82668,1978-12-25,2004-07-16,HIGH,Retail,Verified
CUST-A15FE6C3,Customer_88582,1966-10-11,1999-05-24,LOW,Corporate,Verified
CUST-7B7308E8,Customer_36586,1969-05-16,1983-12-24,LOW,Retail,Verified
CUST-51AAC884,Customer_43396,1970-06-09,1995-08-02,MEDIUM,Retail,Verified
CUST-19ACA13D,Customer_60368,1985-10-30,1989-07-29,MEDIUM,Retail,Verified
CUST-DA0567B2,Customer_96363,1943-11-02,2000-09-20,MEDIUM,SME,Verified
CUST-A998DA6C,Customer_10051,1978-02-21,1999-09-09,MEDIUM,Retail,Verified
CUST-5D7DC479,Customer_10524,1960-12-23,1986-02-01,MEDIUM,Retail,Verified
CUST-0F83E149,Customer_83852,1972-12-18,1992-12-25,LOW,Retail,Verified
CUST-62DC1CD9,Customer_16592,1954-10-01,1987-12-28,HIGH,SME,Verified
CUST-4A4B6433,Customer_40495,1956-12-08,2004-02-26,HIGH,Corporate,Verified
CUST-392EFF0C,Customer_47266,1985-04-24,1997-09-18,MEDIUM,Corporate,Verified
CUST-7D80D125,Customer_54796,1956-06-02,1980-11-07,LOW,Retail,Verified
CUST-88EB66A9,Customer_79916,1983-09-10,1991-04-23,HIGH,Retail,Verified
CUST-9D00BACE,Customer_22647,1983-12-08,1988-04-30,HIGH,Corporate,Verified
CUST-4C7E56CF,Customer_51150,1951-12-04,2002-01-05,LOW,SME,Verified
CUST-5513ADF9,Customer_10240,1961-07-17,1989-04-07,LOW,SME,Verified
CUST-47654BC3,Customer_84653,1966-11-17,2004-08-24,LOW,SME,Verified
CUST-7E40B713,Customer_95817,1963-10-24,1999-11-26,MEDIUM,Retail,Verified
CUST-59FAA4F8,Customer_81308,1946-05-05,1998-02-13,LOW,Retail,Verified
CUST-0D7F5E18,Customer_50398,1949-11-30,1992-01-29,HIGH,SME,Verified
CUST-FE33A5C6,Customer_99392,1961-12-09,1992-11-10,MEDIUM,SME,Verified
CUST-D47E6E63,Customer_11806,1952-05-28,2000-12-22,LOW,Corporate,Verified
CUST-B575B3BD,Customer_30126,1949-04-13,1985-01-24,MEDIUM,Corporate,Verified
CUST-46E6D85F,Customer_37919,1957-02-21,1988-01-30,LOW,Retail,Verified
CUST-69CB4AF1,Customer_12558,1959-01-26,1993-11-10,HIGH,SME,Verified
