Customer_ID,Name,Date_Of_Birth,Join_Date,Risk_Rating,Segment,KYC_Status
CUST-822AB169,Customer_95409,1950-02-18,2005-02-12,MEDIUM,Corporate,Verified
CUST-FA25277C,Customer_62294,1944-02-22,2004-01-13,HIGH,Retail,Verified
CUST-0E2B23DE,Customer_20142,1944-02-04,1986-06-09,HIGH,Corporate,Verified
CUST-0F3DE82E,Customer_60557,1985-04-08,1993-07-27,MEDIUM,Retail,Verified
CUST-BCFA8246,Customer_56927,1971-07-17,1987-04-29,LOW,Corporate,Verified
CUST-69621C38,Customer_54477,1976-11-26,1993-05-19,HIGH,Corporate,Verified
CUST-7C0D2577,Customer_76125,1978-05-15,1993-05-19,HIGH,SME,Verified
CUST-8210351B,Customer_22313,1943-07-24,1980-07-07,HIGH,Retail,Verified
CUST-2CD095FE,Customer_31178,1985-09-10,1999-10-14,HIGH,Corporate,Verified
CUST-EFA8C9B3,Customer_33725,1977-07-24,1980-01-31,HIGH,Corporate,Verified
CUST-29B38E4D,Customer_64623,1977-04-11,1988-06-11,LOW,Corporate,Verified
CUST-061BEB6C,Customer_96057,1945-09-08,1987-12-19,HIGH,Retail,Verified
CUST-FC27108D,Customer_11738,1975-11-16,1988-03-13,LOW,Corporate,Verified
CUST-550E9599,Customer_84807,1978-11-05,1991-12-01,LOW,SME,Verified
CUST-CAF7495E,Customer_22598,1974-11-14,1993-06-13,LOW,Corporate,Verified
CUST-A841751A,Customer_74358,1943-04-25,2005-07-13,MEDIUM,SME,Verified
CUST-5A0FA3C7,Customer_68235,1944-03-01,1987-04-18,LOW,Retail,Verified
CUST-56C7EA53,Customer_18222,1952-05-13,1987-02-12,MEDIUM,Corporate,Verified
CUST-E8C10CF3,Customer_84154,1984-11-06,1996-04-02,MEDIUM,Corporate,Verified
CUST-BDAE80F3,Customer_12732,1962-03-23,1990-10-10,MEDIUM,Retail,Verified
CUST-CE50925A,Customer_66482,1956-09-07,2001-12-16,HIGH,Corporate,Verified
CUST-A0F1C083,Customer_61431,1983-02-24,1981-06-11,MEDIUM,Retail,Verified
CUST-DA8D045C,Customer_78855,1981-08-05,1989-03-26,MEDIUM,Corporate,Verified
CUST-A0855CD5,Customer_68499,1972-08-15,1993-08-19,LOW,Retail,Verified
CUST-405C3764,Customer_44587,1973-06-29,1988-09-08,MEDIUM,Retail,Verified
CUST-835F6C3A,Customer_67351,1980-02-19,1984-12-10,HIGH,SME,Verified
CUST-67A463A3,Customer_30009,1983-10-02,1984-03-16,LOW,Retail,Verified
CUST-5AA3CE9E,Customer_50043,1981-11-26,1981-06-06,LOW,SME,Verified
CUST-31F58E7A,Customer_49835,1964-04-28,2002-05-24,HIGH,SME,Verified
CUST-AED7290F,Customer_66740,1945-04-04,1987-02-19,HIGH,SME,Verified
CUST-1B672740,Customer_60341,1950-11-26,1991-11-01,MEDIUM,SME,Verified
CUST-B9B81DDC,Customer_22616,1954-03-17,1994-05-20,MEDIUM,Corporate,Verified
CUST-F15C5749,Customer_42738,1967-10-26,2003-07-09,LOW,SME,Verified
CUST-25C0AB42,Customer_81587,1983-06-08,2002-07-07,HIGH,Corporate,Verified
CUST-96237D7A,Customer_98560,1957-02-18,2004-09-18,MEDIUM,Corporate,Verified
CUST-7826649F,Customer_25597,1961-12-29,1999-12-20,HIGH,Corporate,Verified
CUST-A10CBF0C,Customer_56330,1945-11-09,1984-12-16,MEDIUM,Retail,Verified
CUST-DFE8ACE9,Customer_28690,1948-10-30,1992-04-23,MEDIUM,SME,Verified
CUST-23009A01,Customer_61782,1942-10-13,1993-08-17,HIGH,Corporate,Verified
CUST-11CAFCF6,Customer_28801,1968-10-20,1981-04-17,LOW,SME,Verified
CUST-CB385E17,Customer_67321,1949-11-18,2000-04-21,LOW,Corporate,Verified
CUST-87C50FCC,Customer_69605,1948-06-29,1986-10-31,HIGH,Retail,Verified
CUST-1E0D8D32,Customer_88851,1950-02-07,1995-11-05,LOW,SME,Verified
CUST-D6328EA8,Customer_91576,1942-09-08,1980-05-09,HIGH,SME,Verified
CUST-648DA38A,Customer_78148,1958-09-29,2004-09-03,MEDIUM,Corporate,Verified
CUST-36E6E5E1,Customer_65285,1948-02-14,2000-01-19,HIGH,Corporate,Verified
CUST-2DEF7D62,Customer_41912,1945-07-20,1995-04-27,HIGH,Retail,Verified
CUST-B1D7084E,Customer_39427,1964-02-07,1994-12-24,LOW,Retail,Verified
CUST-F06177B8,Customer_95866,1969-08-01,1995-04-07,HIGH,SME,Verified
CUST-7B61145A,Customer_72601,1962-11-06,2002-05-08,MEDIUM,Retail,Verified
CUST-1293224A,Customer_87319,1981-04-01,1985-01-12,HIGH,Corporate,Verified
CUST-B3551732,Customer_88807,1965-07-17,1985-05-24,LOW,SME,Verified
CUST-E7B43061,Customer_33157,1965-11-04,2003-01-22,HIGH,SME,Verified
CUST-74D0A4DA,Customer_74648,1942-09-04,1997-07-11,LOW,Retail,Verified
CUST-D8FD639C,Customer_65864,1980-06-02,1999-06-17,HIGH,Corporate,Verified
CUST-8911085B,Customer_64277,1950-01-26,1996-05-13,LOW,SME,Verified
CUST-C74EE6EA,Customer_49117,1954-04-26,1997-02-07,MEDIUM,Retail,Verified
CUST-7B847C91,Customer_68505,1941-02-15,1997-03-28,MEDIUM,Retail,Verified
CUST-A95C5078,Customer_53388,1968-05-28,1992-02-22,HIGH,Retail,Verified
CUST-5F35C0C7,Customer_93879,1947-03-04,1999-07-01,LOW,Corporate,Verified
CUST-1CFA9A90,Customer_54575,1951-03-11,1983-10-08,HIGH,Corporate,Verified
CUST-F88FC0E5,Customer_87106,1947-10-06,1994-07-14,HIGH,Corporate,Verified
CUST-4FE1125F,Customer_91306,1982-05-04,1992-09-27,HIGH,Corporate,Verified
CUST-832E5AD1,Customer_50227,1944-08-30,2001-06-17,MEDIUM,Retail,Verified
CUST-7F56A19A,Customer_74556,1969-06-29,1984-01-25,MEDIUM,Retail,Verified
CUST-FF5566F2,Customer_29802,1979-09-06,2005-02-26,LOW,Corporate,Verified
CUST-26A42053,Customer_86191,1962-08-16,1981-01-20,LOW,Corporate,Verified
CUST-8E00CEB5,Customer_71604,1953-06-04,1998-05-04,LOW,SME,Verified
CUST-C206BB0F,Customer_26142,1980-04-04,1997-11-10,MEDIUM,SME,Verified
CUST-048210AC,Customer_73369,1942-09-10,1990-01-25,LOW,Corporate,Verified
CUST-091790AC,Customer_28185,1963-01-26,2002-02-23,MEDIUM,SME,Verified
CUST-AF99BFD4,Customer_86042,1985-04-03,1987-11-18,MEDIUM,SME,Verified
CUST-168FE245,Customer_65512,1956-12-02,2004-11-23,LOW,SME,Verified
CUST-FC42E7B9,Customer_64020,1969-05-04,1986-03-21,HIGH,SME,Verified
CUST-840E5861,Customer_63987,1945-11-24,1997-03-16,MEDIUM,SME,Verified
CUST-CF8C3C67,Customer_32098,1954-06-26,1988-10-10,HIGH,Corporate,Verified
CUST-C1550A62,Customer_50956,1960-08-15,1995-03-17,HIGH,SME,Verified
CUST-FC7F1C7F,Customer_15596,1984-03-05,1985-02-19,MEDIUM,SME,Verified
CUST-5F0A6156,Customer_71634,1950-01-28,1997-10-25,MEDIUM,SME,Verified
CUST-2BD569C1,Customer_58131,1942-02-24,2000-09-24,MEDIUM,Corporate,Verified
CUST-C7FDA709,Customer_16464,1964-02-12,1983-03-27,LOW,SME,Verified
CUST-F6006D20,Customer_67630,1959-04-19,1997-03-12,MEDIUM,SME,Verified
CUST-2B16C3D5,Customer_79159,1949-01-28,2004-08-31,HIGH,Corporate,Verified
CUST-3C2816C1,Customer_44401,1962-10-31,1994-09-05,HIGH,SME,Verified
CUST-72A07CE9,Customer_77267,1961-05-29,1983-05-13,LOW,SME,Verified
CUST-A4BBD369,Customer_67970,1978-11-20,1983-08-06,HIGH,Retail,Verified
CUST-3866BE33,Customer_85424,1965-07-29,2004-06-03,MEDIUM,Corporate,Verified
CUST-BBAB19C4,Customer_37517,1954-07-08,1997-02-16,LOW,Corporate,Verified
CUST-B844455B,Customer_68695,1973-10-25,1995-05-25,LOW,Corporate,Verified
CUST-B741F354,Customer_30600,1983-05-02,1998-02-26,LOW,SME,Verified
CUST-EA0D51A4,Customer_66262,1951-03-23,1990-04-27,LOW,Corporate,Verified
CUST-C48B0E8F,Customer_99526,1969-04-16,1995-03-17,LOW,Corporate,Verified
CUST-D382A6A6,Customer_36255,1945-11-14,1994-10-05,LOW,SME,Verified
CUST-1EB5C852,Customer_11107,1948-09-11,1988-06-10,LOW,Corporate,Verified
CUST-617AD531,Customer_98785,1977-01-13,1983-04-25,HIGH,Retail,Verified
CUST-7105ED45,Customer_84518,1982-06-08,2005-01-23,MEDIUM,SME,Verified
CUST-A70DCD35,Customer_40652,1976-04-23,2000-06-09,LOW,Corporate,Verified
CUST-46624D77,Customer_32717,1970-09-01,2002-09-16,HIGH,Corporate,Verified
CUST-4853F3DE,Customer_74910,1985-02-11,1999-11-01,MEDIUM,Corporate,Verified
CUST-BD95E10F,Customer_31264,1982-09-15,1999-12-20,HIGH,Corporate,Verified
CUST-38D83730,Customer_95807,1943-05-25,1988-02-09,HIGH,Corporate,Verified
CUST-60B16B1E,Customer_46914,1980-08-15,1997-04-13,MEDIUM,Retail,Verified
CUST-93527186,Customer_59116,1948-03-24,2002-12-29,HIGH,Retail,Verified
CUST-FF4E802D,Customer_30232,1971-04-01,1984-03-16,HIGH,SME,Verified
CUST-1B419F32,Customer_39777,1940-11-28,1985-06-23,MEDIUM,SME,Verified
CUST-9621299C,Customer_19632,1943-03-11,1990-11-04,MEDIUM,Retail,Verified
CUST-CF8A4CC3,Customer_54763,1984-10-03,1980-07-28,HIGH,SME,Verified
CUST-451FBA55,Customer_57544,1953-01-21,1987-08-08,LOW,Corporate,Verified
CUST-696EED44,Customer_82389,1958-02-21,1991-11-18,HIGH,SME,Verified
CUST-5D1D6A1A,Customer_58551,1968-04-01,1984-03-05,HIGH,Corporate,Verified
CUST-B05FF38B,Customer_11958,1959-09-12,1998-02-11,MEDIUM,Corporate,Verified
CUST-BDEC05EA,Customer_93389,1978-10-02,1999-04-28,MEDIUM,Retail,Verified
CUST-676AAB22,Customer_11540,1949-05-22,1993-02-12,MEDIUM,Corporate,Verified
CUST-1A582E3A,Customer_27467,1962-04-21,1998-10-25,MEDIUM,Corporate,Verified
CUST-1DC4983A,Customer_32646,1953-09-03,1998-12-25,MEDIUM,Corporate,Verified
CUST-412DA007,Customer_14062,1975-11-05,2001-05-07,MEDIUM,Retail,Verified
CUST-19DB9221,Customer_61145,1969-04-19,1992-05-04,LOW,Retail,Verified
CUST-E83DF989,Customer_89420,1949-10-04,1986-03-08,MEDIUM,SME,Verified
CUST-9C0C9449,Customer_67664,1941-11-06,1985-01-04,HIGH,Retail,Verified
CUST-39171696,Customer_49019,1979-12-15,1986-05-14,HIGH,Corporate,Verified
CUST-A12FF042,Customer_41525,1981-08-28,1998-03-14,HIGH,Corporate,Verified
CUST-CD08242D,Customer_77715,1944-07-31,1983-09-19,MEDIUM,Retail,Verified
CUST-55C7AA4E,Customer_15139,1978-10-17,1994-09-26,LOW,SME,Verified
CUST-3D12DE0A,Customer_59045,1966-11-08,2002-03-01,LOW,Retail,Verified
CUST-646C2364,Customer_68868,1966-11-04,1992-06-02,MEDIUM,SME,Verified
CUST-6573A91E,Customer_76601,1955-09-04,2003-06-16,MEDIUM,Retail,Verified
