account_number,customer_id,account_type,branch_code,currency,opening_date,account_status,opening_balance,current_balance,available_balance,interest_rate,minimum_balance,overdraft_limit
ACC000000000084,CUST000905,RECURRING_DEPOSIT,BR0086,USD,2024-06-07,ACTIVE,6705.07,5328.42,99110.65,0.71,500.0,0.0
ACC000000000085,CUST000550,SALARY,BR0013,USD,2024-01-28,CLOSED,11712.81,21761.57,77603.4,6.82,500.0,0.0
ACC000000000086,CUST000676,RECURRING_DEPOSIT,BR0039,USD,2022-11-13,ACTIVE,2801.87,42197.9,96394.7,2.35,500.0,0.0
ACC000000000087,CUST000773,SAVINGS,BR0035,USD,2021-12-08,ACTIVE,4520.48,90436.21,43697.3,4.5,500.0,0.0
ACC000000000088,CUST000121,SAVINGS,BR0083,USD,2023-11-25,ACTIVE,34468.63,95951.65,8793.24,3.43,500.0,0.0
ACC000000000089,CUST000113,SAVINGS,BR0002,USD,2024-06-21,ACTIVE,38045.34,23557.31,21464.93,3.91,500.0,0.0
ACC000000000090,CUST000993,CURRENT,BR0018,USD,2022-08-08,INACTIVE,35713.62,74935.04,13200.52,5.48,500.0,2339.82
ACC000000000091,CUST000260,CURRENT,BR0093,USD,2021-12-06,INACTIVE,26868.14,78342.74,6896.25,6.88,500.0,0.0
ACC000000000092,CUST000447,FIXED_DEPOSIT,BR0016,USD,2024-10-24,ACTIVE,16540.72,49436.93,60105.11,6.39,500.0,0.0
ACC000000000093,CUST000452,SALARY,BR0007,USD,2024-06-06,ACTIVE,47709.9,70910.7,80042.21,5.46,0.0,9566.0
ACC000000000094,CUST000826,SALARY,BR0075,USD,2023-11-09,INACTIVE,23201.46,9871.9,85890.72,3.9,0.0,0.0
ACC000000000095,CUST000856,FIXED_DEPOSIT,BR0050,USD,2024-04-12,ACTIVE,3454.25,27938.09,82624.46,5.26,500.0,0.0
ACC000000000096,CUST000207,RECURRING_DEPOSIT,BR0089,USD,2024-03-05,ACTIVE,9642.61,94492.26,93487.94,1.36,500.0,0.0
ACC000000000097,CUST000023,FIXED_DEPOSIT,BR0028,USD,2024-06-13,CLOSED,1123.98,37449.36,22312.52,1.19,500.0,0.0
ACC000000000098,CUST000483,FIXED_DEPOSIT,BR0061,USD,2022-09-05,ACTIVE,32590.13,21185.32,44060.76,5.37,500.0,0.0
ACC000000000099,CUST000353,CURRENT,BR0079,USD,2024-08-08,ACTIVE,1449.39,58821.51,8939.43,3.54,500.0,0.0
ACC000000000100,CUST000340,SAVINGS,BR0037,USD,2023-09-26,ACTIVE,27044.12,48092.03,13604.49,2.78,500.0,1943.64
ACC000000000101,CUST000109,SAVINGS,BR0009,USD,2022-10-31,ACTIVE,3667.48,64201.99,80524.69,5.13,500.0,0.0
ACC000000000102,CUST000377,CURRENT,BR0087,USD,2023-01-21,ACTIVE,12532.64,18539.3,48718.68,1.28,0.0,805.57
ACC000000000103,CUST000937,CURRENT,BR0060,USD,2022-12-10,CLOSED,19278.28,74485.52,68039.95,2.04,0.0,0.0
ACC000000000104,CUST000020,SAVINGS,BR0014,USD,2021-08-22,ACTIVE,38154.27,87285.59,91600.16,6.76,500.0,0.0
ACC000000000105,CUST000401,CURRENT,BR0067,USD,2022-01-21,ACTIVE,3942.97,76061.7,39583.74,1.28,500.0,3636.85
ACC000000000106,CUST000019,RECURRING_DEPOSIT,BR0027,USD,2025-12-09,ACTIVE,575.57,15578.17,88805.44,3.55,500.0,0.0
ACC000000000107,CUST000799,CURRENT,BR0071,USD,2025-09-24,ACTIVE,14561.6,29859.94,20119.15,6.37,0.0,0.0
ACC000000000108,CUST000739,SALARY,BR0035,USD,2022-09-30,INACTIVE,44277.56,42327.78,93051.13,5.08,500.0,0.0
ACC000000000109,CUST000112,CURRENT,BR0051,USD,2024-06-18,INACTIVE,7616.37,12813.93,668.91,4.21,500.0,0.0
ACC000000000110,CUST000525,CURRENT,BR0010,USD,2023-10-15,CLOSED,16729.49,11782.05,10080.73,3.76,500.0,0.0
ACC000000000111,CUST000045,RECURRING_DEPOSIT,BR0078,USD,2023-12-06,ACTIVE,30292.46,62472.65,97402.66,1.61,500.0,6679.03
ACC000000000112,CUST000048,CURRENT,BR0045,USD,2021-03-27,DORMANT,38171.56,3974.12,19277.57,5.67,500.0,0.0
ACC000000000113,CUST000419,CURRENT,BR0065,USD,2021-02-22,ACTIVE,6937.52,81519.56,48951.87,6.8,500.0,1379.35
ACC000000000114,CUST000389,FIXED_DEPOSIT,BR0074,USD,2021-10-07,CLOSED,18931.1,18526.49,24502.55,1.81,500.0,0.0
ACC000000000115,CUST000008,FIXED_DEPOSIT,BR0008,USD,2023-12-12,ACTIVE,38989.39,45783.62,16950.06,0.9,500.0,0.0
ACC000000000116,CUST000752,SALARY,BR0025,USD,2025-03-02,ACTIVE,47889.53,59123.73,58190.73,4.54,500.0,783.78
ACC000000000117,CUST000799,RECURRING_DEPOSIT,BR0031,USD,2022-09-06,INACTIVE,11851.72,40125.2,68755.84,7.39,500.0,0.0
ACC000000000118,CUST000845,RECURRING_DEPOSIT,BR0062,USD,2021-03-01,ACTIVE,394.27,3751.66,37724.34,7.35,0.0,0.0
ACC000000000119,CUST000406,RECURRING_DEPOSIT,BR0100,USD,2023-06-27,CLOSED,4124.07,86801.01,16370.29,7.09,500.0,0.0
ACC000000000120,CUST000091,SALARY,BR0098,USD,2024-03-01,ACTIVE,42753.71,12290.35,51351.47,5.69,500.0,0.0
ACC000000000121,CUST000647,SAVINGS,BR0082,USD,2022-11-22,ACTIVE,44815.22,11192.5,2640.49,4.9,500.0,0.0
ACC000000000122,CUST000800,CURRENT,BR0084,USD,2021-03-14,CLOSED,38700.34,17752.95,48658.63,1.09,500.0,0.0
ACC000000000123,CUST000201,RECURRING_DEPOSIT,BR0080,USD,2023-07-04,ACTIVE,21258.82,1650.24,54093.01,4.27,500.0,0.0
ACC000000000124,CUST000835,RECURRING_DEPOSIT,BR0036,USD,2022-03-14,ACTIVE,49337.98,58471.44,66799.83,6.03,500.0,0.0
ACC000000000125,CUST000278,CURRENT,BR0085,USD,2023-12-18,ACTIVE,47210.48,97954.58,62717.81,1.45,500.0,0.0
ACC000000000126,CUST000003,CURRENT,BR0072,USD,2022-11-24,INACTIVE,38387.04,78711.0,97229.91,3.68,500.0,0.0
ACC000000000127,CUST000735,RECURRING_DEPOSIT,BR0057,USD,2025-04-24,ACTIVE,20525.38,16837.57,68822.11,2.83,500.0,0.0
ACC000000000128,CUST000623,FIXED_DEPOSIT,BR0084,USD,2025-09-28,ACTIVE,30564.99,24265.12,69952.44,6.62,500.0,0.0
ACC000000000129,CUST000920,RECURRING_DEPOSIT,BR0019,USD,2023-09-27,ACTIVE,47394.0,7228.36,30156.3,1.41,0.0,7794.26
ACC000000000130,CUST000658,SAVINGS,BR0045,USD,2023-08-29,ACTIVE,24476.96,17431.37,12846.16,0.61,500.0,0.0
ACC000000000131,CUST000230,CURRENT,BR0008,USD,2021-07-08,ACTIVE,30369.49,96781.8,87050.47,2.94,500.0,0.0
ACC000000000132,CUST000344,SALARY,BR0001,USD,2023-05-25,ACTIVE,47362.2,71540.79,79427.33,6.62,0.0,828.4
ACC000000000133,CUST000859,SALARY,BR0008,USD,2023-07-20,ACTIVE,28611.18,22970.09,61955.64,3.39,500.0,0.0
ACC000000000134,CUST000838,SAVINGS,BR0012,USD,2022-08-06,ACTIVE,13381.95,91905.26,76780.07,1.66,500.0,0.0
ACC000000000135,CUST000459,SALARY,BR0095,USD,2024-01-09,DORMANT,22268.21,65079.03,40861.08,6.57,500.0,0.0
ACC000000000136,CUST000619,CURRENT,BR0020,USD,2025-10-12,DORMANT,16741.77,31146.1,13351.36,5.3,500.0,3963.06
ACC000000000137,CUST000210,CURRENT,BR0100,USD,2025-08-01,ACTIVE,4808.46,99239.86,49151.68,3.02,500.0,0.0
ACC000000000138,CUST000935,SALARY,BR0100,USD,2021-07-20,INACTIVE,44660.7,28390.12,55463.69,0.9,500.0,0.0
ACC000000000139,CUST000108,SAVINGS,BR0038,USD,2022-10-19,ACTIVE,41655.58,14194.78,71250.43,2.46,0.0,0.0
ACC000000000140,CUST000721,SALARY,BR0065,USD,2022-05-09,ACTIVE,32874.08,20260.06,69025.01,0.55,500.0,0.0
ACC000000000141,CUST000009,FIXED_DEPOSIT,BR0041,USD,2022-11-07,CLOSED,13610.0,97224.21,61172.23,3.15,500.0,5936.97
ACC000000000142,CUST000846,SAVINGS,BR0049,USD,2024-12-28,CLOSED,39726.44,6655.9,87983.78,3.0,0.0,0.0
ACC000000000143,CUST000729,SALARY,BR0026,USD,2024-07-14,ACTIVE,22179.93,13529.96,37170.57,1.41,500.0,0.0
ACC000000000144,CUST000983,SAVINGS,BR0030,USD,2024-07-13,ACTIVE,31572.44,24811.7,47394.13,6.18,500.0,0.0
ACC000000000145,CUST000869,RECURRING_DEPOSIT,BR0028,USD,2025-11-05,CLOSED,39455.45,23099.57,91037.3,4.95,500.0,9579.25
ACC000000000146,CUST000076,CURRENT,BR0050,USD,2022-04-04,ACTIVE,38589.94,54907.72,82450.72,7.3,0.0,4008.48
ACC000000000147,CUST000531,SAVINGS,BR0074,USD,2024-05-21,ACTIVE,39003.27,17989.12,38005.28,5.75,0.0,0.0
ACC000000000148,CUST000208,SALARY,BR0084,USD,2021-11-18,ACTIVE,49267.79,52529.93,1328.21,5.26,500.0,0.0
ACC000000000149,CUST000468,CURRENT,BR0008,USD,2022-05-22,ACTIVE,17984.89,44917.5,7040.08,7.12,500.0,827.21
ACC000000000150,CUST000955,FIXED_DEPOSIT,BR0031,USD,2023-11-21,ACTIVE,41927.11,7972.25,59081.22,1.17,500.0,8008.33
ACC000000000151,CUST000248,FIXED_DEPOSIT,BR0002,USD,2022-08-26,CLOSED,4993.75,80804.83,86778.28,7.13,500.0,0.0
ACC000000000152,CUST000602,SAVINGS,BR0074,USD,2022-09-14,ACTIVE,9994.42,72389.89,18356.55,6.62,0.0,0.0
ACC000000000153,CUST000250,SAVINGS,BR0010,USD,2024-11-16,ACTIVE,44176.96,49282.01,60956.93,5.92,500.0,0.0
ACC000000000154,CUST000165,FIXED_DEPOSIT,BR0005,USD,2025-12-11,CLOSED,38444.74,12164.4,29538.83,6.55,0.0,0.0
ACC000000000155,CUST000168,SALARY,BR0040,USD,2024-06-20,DORMANT,15503.58,1254.68,61486.76,2.1,0.0,0.0
ACC000000000156,CUST000130,CURRENT,BR0057,USD,2025-01-20,CLOSED,12419.55,96955.09,8612.14,5.72,500.0,0.0
ACC000000000157,CUST000127,SALARY,BR0067,USD,2023-06-16,DORMANT,19482.22,3657.74,25759.26,3.6,0.0,0.0
ACC000000000158,CUST000310,SALARY,BR0037,USD,2023-05-20,ACTIVE,44191.66,51665.93,6636.47,3.48,0.0,0.0
ACC000000000159,CUST000499,SALARY,BR0064,USD,2025-04-08,CLOSED,11574.06,81013.79,26197.33,6.57,0.0,2543.52
ACC000000000160,CUST000325,CURRENT,BR0076,USD,2021-09-01,ACTIVE,23805.87,11744.23,46436.5,3.06,500.0,0.0
ACC000000000161,CUST000289,RECURRING_DEPOSIT,BR0064,USD,2025-11-15,CLOSED,41564.71,63120.87,71338.45,3.91,500.0,5134.2
ACC000000000162,CUST000958,FIXED_DEPOSIT,BR0007,USD,2022-06-20,ACTIVE,702.18,94535.28,57461.18,3.23,500.0,0.0
ACC000000000163,CUST000573,FIXED_DEPOSIT,BR0021,USD,2024-01-20,ACTIVE,45871.76,525.05,91277.28,3.59,500.0,0.0
ACC000000000164,CUST000611,SAVINGS,BR0004,USD,2025-04-16,DORMANT,30943.53,80875.65,64573.55,6.02,0.0,0.0
ACC000000000165,CUST000396,SALARY,BR0019,USD,2025-07-24,ACTIVE,32235.31,83479.56,69922.04,3.22,0.0,7252.96
ACC000000000166,CUST000582,RECURRING_DEPOSIT,BR0048,USD,2024-10-14,ACTIVE,14978.17,84946.8,63154.16,2.93,0.0,0.0
ACC000000000167,CUST000168,SAVINGS,BR0060,USD,2022-06-26,CLOSED,20626.62,96429.28,88989.54,4.62,0.0,0.0
ACC000000000168,CUST000800,FIXED_DEPOSIT,BR0074,USD,2024-02-04,CLOSED,41282.69,4035.02,11356.57,6.79,0.0,0.0
ACC000000000169,CUST000715,SAVINGS,BR0060,USD,2025-05-13,INACTIVE,35882.22,20805.33,80163.53,6.71,500.0,1986.14
ACC000000000170,CUST000906,SAVINGS,BR0060,USD,2021-10-31,CLOSED,27227.47,18125.89,79194.33,4.27,500.0,0.0
ACC000000000171,CUST000239,RECURRING_DEPOSIT,BR0070,USD,2024-12-22,ACTIVE,41917.93,57023.5,86325.37,2.49,0.0,0.0
ACC000000000172,CUST000115,CURRENT,BR0021,USD,2025-01-23,ACTIVE,43576.11,2512.15,66873.25,4.11,500.0,0.0
ACC000000000173,CUST000123,SALARY,BR0080,USD,2023-01-17,DORMANT,33286.33,37670.16,45632.39,1.23,500.0,0.0
ACC000000000174,CUST000694,SAVINGS,BR0073,USD,2024-05-19,ACTIVE,23461.15,29858.54,59702.42,2.96,500.0,0.0
ACC000000000175,CUST000229,CURRENT,BR0066,USD,2025-08-04,CLOSED,19749.36,90923.46,24083.88,7.26,500.0,0.0
ACC000000000176,CUST000530,SAVINGS,BR0076,USD,2024-05-09,CLOSED,14255.96,50031.93,60752.17,2.05,500.0,0.0
ACC000000000177,CUST000462,FIXED_DEPOSIT,BR0091,USD,2021-06-17,ACTIVE,9676.56,47675.14,5950.58,3.1,500.0,0.0
ACC000000000178,CUST000002,SAVINGS,BR0044,USD,2021-09-09,ACTIVE,19455.08,65325.13,88657.89,5.3,500.0,0.0
ACC000000000179,CUST000190,RECURRING_DEPOSIT,BR0035,USD,2024-01-05,INACTIVE,33486.34,36466.88,80666.98,3.45,500.0,1849.4
ACC000000000180,CUST000313,RECURRING_DEPOSIT,BR0097,USD,2022-10-29,CLOSED,49625.39,97451.93,7405.45,5.32,500.0,0.0
ACC000000000181,CUST000594,CURRENT,BR0093,USD,2024-08-10,ACTIVE,24340.76,21083.44,5419.36,6.18,500.0,0.0
ACC000000000182,CUST000354,SAVINGS,BR0099,USD,2025-02-04,INACTIVE,49008.25,3289.15,47519.35,2.74,0.0,0.0
ACC000000000183,CUST000868,CURRENT,BR0083,USD,2023-06-27,INACTIVE,49974.77,46123.3,44715.43,2.66,0.0,0.0
ACC000000000184,CUST000381,CURRENT,BR0034,USD,2024-02-19,ACTIVE,47023.01,26514.12,44050.82,6.09,500.0,0.0
ACC000000000185,CUST000371,SAVINGS,BR0082,USD,2025-03-29,ACTIVE,40411.33,72557.12,20685.78,6.73,500.0,0.0
ACC000000000186,CUST000416,SAVINGS,BR0064,USD,2025-12-12,ACTIVE,2995.28,36942.56,21426.71,2.25,0.0,0.0
ACC000000000187,CUST000890,CURRENT,BR0015,USD,2024-06-17,DORMANT,41891.09,22198.87,21460.9,5.67,500.0,857.99
ACC000000000188,CUST000462,SAVINGS,BR0092,USD,2023-10-12,CLOSED,1384.93,46192.59,76983.25,1.51,500.0,2969.41
ACC000000000189,CUST000354,CURRENT,BR0063,USD,2021-01-27,ACTIVE,22375.1,62149.4,64437.37,1.35,500.0,0.0
ACC000000000190,CUST000464,SAVINGS,BR0098,USD,2021-12-22,ACTIVE,28306.98,82215.06,27666.96,7.36,500.0,0.0
ACC000000000191,CUST000444,SAVINGS,BR0046,USD,2022-04-17,ACTIVE,25326.15,6845.19,29078.55,5.89,500.0,8335.51
ACC000000000192,CUST000976,RECURRING_DEPOSIT,BR0061,USD,2022-04-29,INACTIVE,35655.66,56329.13,97033.95,1.98,500.0,4787.65
ACC000000000193,CUST000421,SAVINGS,BR0072,USD,2023-08-14,ACTIVE,11691.43,7015.13,42739.53,5.49,500.0,0.0
ACC000000000194,CUST000758,SAVINGS,BR0070,USD,2022-09-24,ACTIVE,34275.19,58164.93,32617.33,3.39,500.0,2711.73
