account_number,customer_id,product_code,branch_id,currency,current_balance,status,open_date
1003149571,CIF000048,SB001,BR0013,USD,26601.95,ACTIVE,2023-03-30
1007559421,CIF000049,SB001,BR0008,USD,11315.05,ACTIVE,2022-10-22
1007336499,CIF000051,SB001,BR0005,USD,47305.08,ACTIVE,2024-07-19
1005202910,CIF000052,SB001,BR0007,USD,31840.94,ACTIVE,2024-05-03
1006448977,CIF000053,SB001,BR0008,USD,7158.27,ACTIVE,2022-01-22
1007445597,CIF000054,SB001,BR0020,USD,2445.03,ACTIVE,2024-06-07
1004501057,CIF000055,SB001,BR0015,USD,24723.3,ACTIVE,2022-02-19
1001681010,CIF000056,SB001,BR0010,USD,11103.81,ACTIVE,2022-01-10
1001625801,CIF000058,SB001,BR0007,USD,41093.22,ACTIVE,2023-07-18
1005664071,CIF000059,SB001,BR0008,USD,31006.51,ACTIVE,2022-07-03
1002493441,CIF000060,SB001,BR0013,USD,13832.99,ACTIVE,2024-05-07
1004164018,CIF000061,SB001,BR0012,USD,27035.27,ACTIVE,2023-09-25
1009497724,CIF000062,SB001,BR0014,USD,21923.26,ACTIVE,2022-07-02
1007613269,CIF000063,SB001,BR0003,USD,34945.54,ACTIVE,2024-11-10
1001435929,CIF000064,SB001,BR0009,USD,28166.7,ACTIVE,2023-03-04
1003514135,CIF000065,SB001,BR0009,USD,30327.87,ACTIVE,2023-01-06
1003121743,CIF000066,SB001,BR0020,USD,6040.14,ACTIVE,2024-05-24
1001058203,CIF000067,SB001,BR0020,USD,11345.9,ACTIVE,2024-10-23
1005087177,CIF000068,SB001,BR0013,USD,48311.32,ACTIVE,2023-11-25
1007972717,CIF000070,SB001,BR0003,USD,48967.84,ACTIVE,2023-03-14
1006775052,CIF000071,SB001,BR0002,USD,41589.94,ACTIVE,2024-09-12
1005114222,CIF000073,SB001,BR0020,USD,7467.64,ACTIVE,2024-09-26
1009973314,CIF000074,SB001,BR0020,USD,20795.28,ACTIVE,2023-10-12
1003542853,CIF000075,SB001,BR0002,USD,44282.36,ACTIVE,2022-03-28
1007157911,CIF000076,SB001,BR0019,USD,12333.74,ACTIVE,2024-01-15
1006084363,CIF000077,SB001,BR0002,USD,19608.11,ACTIVE,2022-07-07
1007948941,CIF000078,SB001,BR0008,USD,35740.64,ACTIVE,2023-06-04
1005738647,CIF000079,SB001,BR0016,USD,3541.3,ACTIVE,2024-08-06
1004040514,CIF000080,SB001,BR0013,USD,1807.39,ACTIVE,2023-10-30
1003624695,CIF000081,SB001,BR0002,USD,42351.4,ACTIVE,2022-12-27
1004823258,CIF000082,SB001,BR0015,USD,20929.7,ACTIVE,2022-10-03
1009733522,CIF000083,SB001,BR0011,USD,17460.6,ACTIVE,2022-10-07
1009458990,CIF000084,SB001,BR0011,USD,29249.88,ACTIVE,2022-07-19
1002430524,CIF000085,SB001,BR0003,USD,24777.51,ACTIVE,2023-10-19
1001039435,CIF000086,SB001,BR0008,USD,18653.2,ACTIVE,2022-01-28
1007353544,CIF000087,SB001,BR0018,USD,15893.38,ACTIVE,2022-05-27
1002310504,CIF000088,SB001,BR0016,USD,32258.02,ACTIVE,2022-09-30
1005242944,CIF000089,SB001,BR0002,USD,10775.17,ACTIVE,2024-07-21
1004795382,CIF000090,SB001,BR0001,USD,31565.86,ACTIVE,2023-03-11
1008244159,CIF000091,SB001,BR0009,USD,34356.63,ACTIVE,2024-03-20
1002906843,CIF000093,SB001,BR0009,USD,5276.27,ACTIVE,2022-09-30
1002177498,CIF000094,SB001,BR0016,USD,6533.07,ACTIVE,2023-03-26
1006457436,CIF000095,SB001,BR0009,USD,25719.59,ACTIVE,2023-09-12
1004847623,CIF000096,SB001,BR0016,USD,12259.38,ACTIVE,2024-03-22
1002036093,CIF000097,SB001,BR0018,USD,31204.54,ACTIVE,2022-12-18
1007283070,CIF000098,SB001,BR0005,USD,9822.8,ACTIVE,2023-10-30
1003013630,CIF000099,SB001,BR0002,USD,10900.96,ACTIVE,2022-08-07
1003767797,CIF000100,SB001,BR0016,USD,41742.43,ACTIVE,2023-05-07
