customer_id,full_name,dob,address_line1,city,contact_no,kyc_status
CIF000024,Customer Name 24,1996-07-29,Apt 34 Block C,New York,8284716025,Y
CIF000025,Customer Name 25,1975-09-30,Apt 36 Block B,Singapore,9938497413,Y
CIF000026,Customer Name 26,1994-07-03,Apt 98 Block C,Singapore,7059322002,Y
CIF000027,Customer Name 27,1993-11-04,Apt 34 Block C,Singapore,8730167636,Y
CIF000028,Customer Name 28,1992-08-21,Apt 31 Block C,Mumbai,9466603045,Y
CIF000029,Customer Name 29,1994-12-01,Apt 37 Block C,Dubai,7286921111,Y
CIF000030,Customer Name 30,1970-03-03,Apt 72 Block A,Mumbai,7726670152,Y
CIF000031,Customer Name 31,1988-09-06,Apt 49 Block A,Singapore,8181472350,Y
CIF000032,Customer Name 32,1985-08-08,Apt 58 Block C,New York,7255629979,Y
CIF000033,Customer Name 33,1995-01-11,Apt 29 Block C,New York,7632190828,Y
CIF000034,Customer Name 34,1979-11-21,Apt 4 Block A,London,8310685320,Y
CIF000035,Customer Name 35,1994-09-29,Apt 49 Block B,London,7974992535,Y
CIF000036,Customer Name 36,1988-06-04,Apt 13 Block B,New York,7278693215,Y
CIF000037,Customer Name 37,1990-12-31,Apt 49 Block C,Dubai,9995490071,Y
CIF000038,Customer Name 38,1987-11-23,Apt 42 Block A,London,9834561893,Y
CIF000039,Customer Name 39,1976-02-26,Apt 7 Block B,Dubai,7244461882,Y
CIF000040,Customer Name 40,1990-01-10,Apt 90 Block C,New York,8472014012,Y
CIF000041,Customer Name 41,1980-07-27,Apt 72 Block B,Singapore,9059817757,Y
CIF000042,Customer Name 42,1979-03-21,Apt 76 Block C,New York,8887158426,Y
CIF000043,Customer Name 43,1996-12-03,Apt 42 Block A,Singapore,9802308693,Y
CIF000044,Customer Name 44,1981-09-10,Apt 93 Block C,Singapore,8627244264,Y
CIF000045,Customer Name 45,1998-02-09,Apt 41 Block B,Mumbai,7407041287,Y
CIF000046,Customer Name 46,1978-05-25,Apt 95 Block C,Singapore,8814808404,Y
CIF000047,Customer Name 47,1975-06-12,Apt 22 Block B,New York,7804104482,Y
CIF000048,Customer Name 48,1996-01-17,Apt 84 Block C,Singapore,8104056733,Y
CIF000049,Customer Name 49,1998-04-14,Apt 92 Block C,Mumbai,9129841429,Y
CIF000050,Customer Name 50,1977-02-23,Apt 20 Block B,London,9097828419,Y
CIF000051,Customer Name 51,1997-10-12,Apt 75 Block A,London,9452449904,Y
CIF000052,Customer Name 52,1990-04-12,Apt 72 Block B,New York,9755636373,Y
CIF000053,Customer Name 53,1996-07-08,Apt 12 Block A,London,7519427241,Y
CIF000054,Customer Name 54,1998-09-20,Apt 41 Block A,New York,7171206594,Y
CIF000055,Customer Name 55,1980-01-19,Apt 51 Block C,Mumbai,9836602023,Y
CIF000056,Customer Name 56,1981-11-07,Apt 50 Block B,Singapore,8752711413,Y
CIF000057,Customer Name 57,1972-02-19,Apt 94 Block C,Dubai,9243303475,Y
CIF000058,Customer Name 58,1993-02-18,Apt 19 Block C,London,9745668452,Y
CIF000059,Customer Name 59,1987-06-14,Apt 30 Block C,Singapore,8837763231,Y
CIF000060,Customer Name 60,1985-10-11,Apt 39 Block C,London,8768763693,Y
CIF000061,Customer Name 61,1997-03-05,Apt 74 Block C,New York,7090041270,Y
CIF000062,Customer Name 62,2000-06-09,Apt 50 Block A,London,9751851314,Y
CIF000063,Customer Name 63,1993-10-17,Apt 35 Block B,Mumbai,8561830888,Y
CIF000064,Customer Name 64,1983-02-18,Apt 32 Block A,London,8620353154,Y
CIF000065,Customer Name 65,1984-12-31,Apt 55 Block C,New York,9362294221,Y
CIF000066,Customer Name 66,1983-03-17,Apt 95 Block C,New York,9134959520,Y
CIF000067,Customer Name 67,1990-05-15,Apt 38 Block A,Mumbai,8114630450,Y
CIF000068,Customer Name 68,1999-10-24,Apt 8 Block C,London,7180717882,Y
CIF000069,Customer Name 69,1993-03-15,Apt 13 Block B,London,7452801254,Y
CIF000070,Customer Name 70,1978-06-07,Apt 13 Block A,Mumbai,9476204665,Y
CIF000071,Customer Name 71,1990-05-20,Apt 3 Block B,Singapore,8244118302,Y
CIF000072,Customer Name 72,1985-02-10,Apt 19 Block B,New York,9869997035,Y
CIF000073,Customer Name 73,2000-09-14,Apt 12 Block C,Mumbai,8546543926,Y
CIF000074,Customer Name 74,1979-08-02,Apt 47 Block C,Dubai,7077165437,Y
CIF000075,Customer Name 75,1980-09-07,Apt 49 Block C,Mumbai,8419657515,Y
CIF000076,Customer Name 76,1993-01-13,Apt 55 Block C,New York,7840180023,Y
CIF000077,Customer Name 77,1983-11-02,Apt 27 Block A,London,7398215906,Y
CIF000078,Customer Name 78,1976-10-26,Apt 57 Block B,Mumbai,7367980662,Y
CIF000079,Customer Name 79,1977-07-25,Apt 20 Block B,Dubai,7914995572,Y
CIF000080,Customer Name 80,1987-11-17,Apt 25 Block A,Singapore,7215441254,Y
CIF000081,Customer Name 81,1995-09-09,Apt 99 Block C,Mumbai,9688915036,Y
CIF000082,Customer Name 82,1995-11-04,Apt 43 Block A,Dubai,8860006648,Y
CIF000083,Customer Name 83,1983-12-20,Apt 30 Block C,London,7985513263,Y
CIF000084,Customer Name 84,1993-09-02,Apt 28 Block C,New York,8033626650,Y
CIF000085,Customer Name 85,1971-05-29,Apt 66 Block A,Dubai,8686103529,Y
CIF000086,Customer Name 86,1972-04-02,Apt 11 Block C,London,9483910825,Y
CIF000087,Customer Name 87,1991-07-25,Apt 24 Block C,New York,9164465273,Y
CIF000088,Customer Name 88,1979-10-24,Apt 80 Block C,London,7007381714,Y
CIF000089,Customer Name 89,1978-12-18,Apt 1 Block A,London,9987133993,Y
CIF000090,Customer Name 90,1985-09-10,Apt 23 Block A,New York,7618378123,Y
CIF000091,Customer Name 91,1994-01-24,Apt 74 Block B,Mumbai,7731362863,Y
CIF000092,Customer Name 92,1975-10-15,Apt 40 Block A,Singapore,9680025642,Y
CIF000093,Customer Name 93,1988-08-11,Apt 34 Block A,New York,7960428709,Y
CIF000094,Customer Name 94,1992-05-27,Apt 46 Block C,Singapore,9619143629,Y
CIF000095,Customer Name 95,1995-05-11,Apt 80 Block B,Dubai,8103598618,Y
CIF000096,Customer Name 96,1972-01-12,Apt 91 Block C,New York,9344127212,Y
CIF000097,Customer Name 97,1993-08-25,Apt 43 Block C,Dubai,7843704550,Y
CIF000098,Customer Name 98,1997-04-20,Apt 67 Block C,London,9999416662,Y
CIF000099,Customer Name 99,1976-09-09,Apt 2 Block A,New York,9623231654,Y
CIF000100,Customer Name 100,1977-12-01,Apt 67 Block B,Singapore,9344540846,Y
